age_surge_charge,total_revenue,ride_miles,ride_start_date_time_converted,ride_end_date_time_converted,temperature_2m,precipitation,rain,snowfall,cloud_cover,wind_speed_10m,total_ride_time_minutes,total_precipitation,precipitation_category,log_total_precipitation,revenue_per_mile,revenue_per_minute,hour,revenue_category
1,93.84,11.96,2024-01-01 00:48:00,2024-01-01 01:00:00,15.408501,0.0,0.0,0.0,0.0,10.594036,12.0,0.0,0,0.0,7.846153846153846,7.82,0,2
0,52.15,2.03,2024-01-01 01:00:00,2024-01-01 01:29:00,18.1085,0.0,0.0,0.0,0.0,4.8965297,29.0,0.0,0,0.0,25.689655172413794,1.7982758620689654,1,0
0,96.24,6.41,2024-01-01 01:21:00,2024-01-01 01:34:00,18.1085,0.0,0.0,0.0,0.0,4.8965297,13.0,0.0,0,0.0,15.014040561622464,7.403076923076923,1,2
0,56.28,3.35,2024-01-01 01:50:00,2024-01-01 02:00:00,18.1085,0.0,0.0,0.0,0.0,4.8965297,10.0,0.0,0,0.0,16.8,5.628,1,1
0,77.99,1.41,2024-01-01 01:55:00,2024-01-01 02:00:00,18.1085,0.0,0.0,0.0,0.0,4.8965297,5.0,0.0,0,0.0,55.312056737588655,15.597999999999999,1,1
0,79.14,8.58,2024-01-01 02:01:00,2024-01-01 02:22:00,17.1085,0.0,0.0,0.0,0.0,5.0142193,21.0,0.0,0,0.0,9.223776223776223,3.7685714285714287,2,1
0,31.1,1.72,2024-01-01 02:13:00,2024-01-01 02:17:00,17.1085,0.0,0.0,0.0,0.0,5.0142193,4.0,0.0,0,0.0,18.081395348837212,7.775,2,0
1,58.17,4.2,2024-01-01 02:27:00,2024-01-01 02:39:00,17.1085,0.0,0.0,0.0,0.0,5.0142193,12.0,0.0,0,0.0,13.85,4.8475,2,1
0,62.93,6.15,2024-01-01 02:31:00,2024-01-01 02:40:00,17.1085,0.0,0.0,0.0,0.0,5.0142193,9.0,0.0,0,0.0,10.232520325203252,6.992222222222222,2,1
0,57.56,7.05,2024-01-01 02:35:00,2024-01-01 02:46:00,17.1085,0.0,0.0,0.0,0.0,5.0142193,11.0,0.0,0,0.0,8.164539007092198,5.232727272727273,2,1
